spp;unknown;artif;opena;fores;waterbodies;
305;Herpsilochmus sellowi;1;0;1;1;0
306;Himantopus himantopus;1;0;1;0;1
307;Hirundinea bellicosa;1;1;1;1;0
308;Hirundo rustica;1;1;1;0;0
309;Hoploxypterus cayanus;1;1;1;1;1
310;Hydrobates castro;1;0;0;0;0
311;Hydrobates leucorhous;1;0;0;0;0
312;Hydropsalis torquata;1;1;1;0;0
313;Hylatomus lineatus;1;1;1;1;0
314;Hylocharis cyanus;1;1;1;1;0
315;Hylopezus ochroleucus;1;0;1;1;0
316;Hylophilus amaurocephalus;1;1;1;1;0
317;Hylophilus pectoralis;1;1;1;1;0
318;Hylophilus semicinereus;1;1;0;1;0
319;Hypoedaleus guttatus;1;0;0;1;0
320;Icterus jamacaii;1;0;1;0;0
321;Icterus pyrrhopterus;1;1;1;1;0
322;Ictinia plumbea;1;0;1;1;0
323;Ilicura militaris;1;0;0;1;0
324;Iodopleura pipra;1;1;0;1;0
325;Islerothraupis cristata;1;0;1;1;0
326;Ixobrychus exilis;1;0;0;1;1
327;Jabiru mycteria;1;0;1;0;1
328;Jacana jacana;1;1;1;1;1
329;Knipolegus franciscanus;1;0;1;1;0
330;Knipolegus nigerrimus;1;0;1;1;0
331;Larus cirrocephalus;1;1;1;0;1
332;Larus maculipennis;1;1;0;0;1
333;Laterallus exilis;1;1;0;0;1
334;Laterallus melanophaius;1;1;1;1;1
335;Lathrotriccus euleri;1;1;1;1;0
336;Legatus leucophaius;1;1;0;1;0
337;Leistes superciliaris;1;1;1;0;0
338;Lepidocolaptes angustirostris;1;1;1;1;0
339;Lepidocolaptes squamatus;1;0;1;1;0
340;Leptodon cayanensis;1;0;1;1;0
341;Leptopogon amaurocephalus;1;1;1;1;0
342;Leptotila rufaxilla;1;1;0;1;0
343;Leptotila verreauxi;1;1;1;1;0
344;Limnodromus griseus;1;0;1;0;1
345;Lipaugus vociferans;1;0;0;1;0
346;Lochmias nematura;1;0;0;1;0
347;Lophornis magnificus;1;1;1;1;0
348;Lurocalis semitorquatus;1;0;0;1;0
349;Machaeropterus regulus;1;0;0;1;0
350;Machetornis rixosa;1;1;1;0;0
351;Malacoptila minor;1;1;0;1;0
352;Manacus manacus;1;1;1;1;0
353;Megaceryle torquata;1;1;1;1;0
354;Megarynchus pitangua;1;1;1;1;0
355;Megascops atricapilla;1;1;0;1;0
356;Megascops choliba;1;1;1;1;0
357;Megaxenops parnaguae;1;0;1;1;0
358;Melanerpes candidus;1;1;1;1;0
359;Melanerpes flavifrons;1;1;0;1;0
360;Melanopareia torquata;1;0;1;0;0
361;Mergus octosetaceus;1;1;1;1;1
362;Mesembrinibis cayennensis;1;0;0;1;1
363;Micrastur ruficollis;1;1;0;1;0
364;Micrastur semitorquatus;1;0;1;1;0
365;Micropygia schomburgkii;1;0;1;0;1
